PlacerAnnealRandom_10000_84,PlacerAnnealRandom_10000_87,PlacerAnnealRandom_10000_90,PlacerAnnealRandom_10000_93,PlacerAnnealRandom_10000_96,PlacerAnnealRandom_20000_84,PlacerAnnealRandom_20000_87,PlacerAnnealRandom_20000_90,PlacerAnnealRandom_20000_93,PlacerAnnealRandom_20000_96,PlacerAnnealHybrid_10000_84,PlacerAnnealHybrid_10000_87,PlacerAnnealHybrid_10000_90,PlacerAnnealHybrid_10000_93,PlacerAnnealHybrid_10000_96,PlacerAnnealHybrid_20000_84,PlacerAnnealHybrid_20000_87,PlacerAnnealHybrid_20000_90,PlacerAnnealHybrid_20000_93,PlacerAnnealHybrid_20000_96
900137.0,873494.0,937526.0,962487.0,869756.0,878162.0,855958.0,960798.0,895842.0,922495.0,960809.0,924880.0,950615.0,912565.0,925498.0,912944.0,902436.0,905271.0,943231.0,889416.0
796073.0,780898.0,748909.0,812185.0,753995.0,776663.0,800085.0,781158.0,765071.0,804164.0,799862.0,781056.0,795793.0,782973.0,814840.0,806835.0,768348.0,815261.0,800118.0,765263.0
746736.0,725889.0,734828.0,781496.0,766944.0,732196.0,799972.0,741708.0,788935.0,783118.0,747878.0,713185.0,708675.0,723278.0,777002.0,764980.0,748616.0,768818.0,762313.0,756343.0
716354.0,657916.0,687322.0,752594.0,708193.0,727819.0,708405.0,726804.0,733717.0,755766.0,711623.0,708626.0,676388.0,692437.0,698809.0,737941.0,743384.0,724495.0,735352.0,779694.0
677350.0,641168.0,690929.0,701334.0,666179.0,711096.0,680634.0,692331.0,771156.0,726084.0,692799.0,708428.0,656649.0,675024.0,674394.0,720068.0,713087.0,714539.0,701138.0,760789.0
657794.0,648158.0,670224.0,649066.0,666255.0,722054.0,686524.0,704815.0,765910.0,677324.0,657667.0,645096.0,628567.0,696460.0,687655.0,702659.0,673689.0,707159.0,713244.0,719765.0
637996.0,607963.0,654194.0,666925.0,651836.0,683105.0,698129.0,701551.0,685915.0,688407.0,642834.0,643752.0,637350.0,683190.0,650024.0,647119.0,688655.0,690914.0,670848.0,699730.0
627933.0,590698.0,627980.0,645559.0,637474.0,668069.0,647690.0,646362.0,688063.0,706116.0,598096.0,631659.0,633308.0,651488.0,667242.0,665075.0,695779.0,672153.0,650721.0,672192.0
623544.0,585039.0,606475.0,635911.0,611090.0,660151.0,647840.0,619808.0,691672.0,684990.0,602051.0,617909.0,613572.0,640332.0,643239.0,654888.0,668658.0,676385.0,651806.0,683727.0
607443.0,590732.0,593539.0,627232.0,610533.0,674011.0,647421.0,650257.0,713496.0,694011.0,586133.0,598672.0,594416.0,648206.0,652414.0,655395.0,634037.0,651484.0,687247.0,701528.0
594458.0,596033.0,589399.0,609903.0,633713.0,616883.0,641251.0,643243.0,676962.0,643603.0,545547.0,573500.0,586690.0,593715.0,657092.0,627617.0,633180.0,651973.0,684951.0,659611.0
554701.0,553446.0,578045.0,631582.0,608679.0,597441.0,639064.0,626968.0,656151.0,623331.0,515198.0,556223.0,573316.0,585476.0,617344.0,576675.0,611451.0,636438.0,628074.0,738993.0
535652.0,576255.0,552581.0,618753.0,598326.0,587550.0,614668.0,621365.0,628812.0,659243.0,497961.0,538856.0,572024.0,581579.0,636261.0,585499.0,595289.0,654796.0,642232.0,703785.0
519079.0,546042.0,559735.0,598398.0,586475.0,577401.0,617396.0,616103.0,615868.0,640804.0,481029.0,533841.0,568965.0,553648.0,634260.0,563268.0,567345.0,631725.0,612253.0,708031.0
501290.0,526314.0,554397.0,580889.0,614252.0,562640.0,595845.0,615385.0,610652.0,665989.0,468144.0,517818.0,558354.0,567267.0,619892.0,554605.0,547669.0,622668.0,654610.0,712180.0
488439.0,521186.0,534465.0,585399.0,587057.0,529823.0,576943.0,598111.0,600551.0,717682.0,457267.0,510619.0,545962.0,555083.0,588591.0,531067.0,537876.0,650090.0,622697.0,687260.0
479256.0,488109.0,528566.0,578804.0,580907.0,521537.0,557889.0,576709.0,619125.0,638999.0,450220.0,495058.0,527139.0,520917.0,567211.0,519615.0,519730.0,600592.0,608036.0,677640.0
470059.0,480113.0,536814.0,549951.0,571734.0,511420.0,531221.0,596434.0,595973.0,664829.0,441115.0,490120.0,508941.0,540720.0,585719.0,514355.0,497012.0,593142.0,598321.0,661961.0
466822.0,475482.0,513884.0,549149.0,570400.0,495142.0,518219.0,579713.0,610159.0,672787.0,434969.0,490709.0,515991.0,538618.0,602226.0,509884.0,487710.0,573687.0,550405.0,658382.0
465393.0,466534.0,508238.0,572711.0,576273.0,487770.0,505047.0,550402.0,579193.0,645024.0,433914.0,483535.0,499160.0,527687.0,582004.0,493459.0,484342.0,569096.0,567729.0,666436.0
455820.0,462176.0,500424.0,552414.0,567792.0,482050.0,488137.0,540266.0,572407.0,653833.0,432159.0,474534.0,491264.0,529781.0,573078.0,477960.0,472335.0,535230.0,565551.0,640444.0
450771.0,455162.0,492194.0,546155.0,553840.0,477220.0,483575.0,529590.0,574633.0,608801.0,426924.0,466539.0,482234.0,523340.0,572680.0,475059.0,470870.0,530156.0,576356.0,632536.0
445820.0,452619.0,481522.0,524375.0,567409.0,478364.0,483342.0,529398.0,550479.0,634092.0,421180.0,455299.0,471998.0,517720.0,570532.0,474009.0,456404.0,543221.0,572034.0,643794.0
440180.0,440930.0,479205.0,515467.0,578475.0,475469.0,472053.0,515519.0,531588.0,603242.0,418563.0,442598.0,460565.0,502194.0,576374.0,458729.0,461980.0,534573.0,547201.0,616272.0
435617.0,433350.0,479454.0,495980.0,573756.0,466440.0,470359.0,492516.0,546151.0,613989.0,418895.0,439751.0,449651.0,501815.0,571549.0,443766.0,459907.0,529336.0,550815.0,604000.0
433181.0,426315.0,468095.0,495843.0,569595.0,451919.0,450228.0,472601.0,539154.0,636538.0,412475.0,435279.0,443008.0,491769.0,573068.0,443685.0,450210.0,523421.0,538849.0,605968.0
432916.0,420765.0,465015.0,499968.0,567010.0,452182.0,444254.0,470504.0,522635.0,606282.0,411463.0,429570.0,441260.0,499143.0,539790.0,442387.0,436685.0,513546.0,534610.0,586607.0
427411.0,423458.0,453269.0,478841.0,579342.0,451933.0,443380.0,452416.0,529041.0,603461.0,411236.0,428156.0,441271.0,495478.0,526977.0,438351.0,430152.0,509130.0,523296.0,582097.0
424940.0,421838.0,446610.0,480436.0,535135.0,444918.0,441275.0,457522.0,510803.0,626176.0,400339.0,422676.0,439088.0,479102.0,545098.0,425293.0,428922.0,496355.0,504595.0,554120.0
422662.0,424624.0,443357.0,472949.0,528717.0,442069.0,435532.0,450247.0,505725.0,614922.0,386972.0,412940.0,439469.0,466123.0,546093.0,428765.0,430326.0,489842.0,504535.0,534852.0
429125.0,423706.0,439531.0,473549.0,518630.0,440803.0,430491.0,441593.0,507344.0,592524.0,375508.0,412281.0,423379.0,465585.0,543686.0,426267.0,435623.0,482932.0,504512.0,561843.0
431938.0,419696.0,430181.0,465151.0,536876.0,435635.0,426426.0,435245.0,494528.0,588212.0,372302.0,408828.0,418456.0,457471.0,520617.0,424178.0,425542.0,474833.0,501289.0,561732.0
428844.0,416127.0,429474.0,463735.0,535618.0,432933.0,425717.0,439526.0,474843.0,562945.0,375384.0,402373.0,411114.0,456424.0,548883.0,401573.0,414891.0,478372.0,493283.0,559224.0
424831.0,413172.0,425362.0,456488.0,524180.0,427599.0,424347.0,437249.0,473796.0,568075.0,374035.0,401134.0,411885.0,451155.0,531947.0,388760.0,416281.0,469575.0,507794.0,588297.0
419936.0,411956.0,423878.0,448285.0,508097.0,420024.0,430803.0,436971.0,469947.0,585335.0,372174.0,399261.0,410971.0,449408.0,517996.0,383914.0,413184.0,461031.0,485735.0,559716.0
