Iter, Cost
0, 679603.0
1, 644427.0
2, 626908.0
3, 578218.0
4, 588621.0
5, 584005.0
6, 552625.0
7, 525158.0
8, 544206.0
9, 507478.0
10, 530941.0
11, 542188.0
12, 560008.0
13, 553102.0
14, 548463.0
15, 576742.0
16, 567079.0
17, 528084.0
18, 537085.0
19, 540943.0
20, 564972.0
21, 532727.0
22, 553320.0
23, 495531.0
24, 515073.0
25, 517305.0
26, 537138.0
27, 562288.0
28, 532309.0
29, 540342.0
30, 553548.0
31, 554133.0
32, 552390.0
33, 559565.0
34, 550544.0
35, 569624.0
36, 549117.0
37, 524996.0
38, 547907.0
39, 573661.0
40, 572948.0
41, 585651.0
42, 550582.0
43, 522956.0
44, 547514.0
45, 540774.0
46, 541431.0
47, 524331.0
48, 523964.0
49, 523355.0
50, 543655.0
51, 546071.0
52, 517689.0
53, 509505.0
54, 510334.0
55, 509400.0
56, 556529.0
57, 561857.0
58, 543233.0
59, 520022.0
60, 525398.0
61, 528130.0
62, 518449.0
63, 559946.0
64, 542784.0
65, 547342.0
66, 547628.0
67, 548037.0
68, 563183.0
69, 507558.0
70, 522796.0
71, 538641.0
72, 542439.0
73, 530582.0
74, 538129.0
75, 565955.0
76, 565822.0
77, 521891.0
78, 511808.0
79, 522163.0
80, 539261.0
81, 525512.0
82, 504620.0
83, 513371.0
84, 521439.0
85, 503664.0
86, 497265.0
87, 512591.0
88, 507662.0
89, 523832.0
90, 538243.0
91, 520349.0
92, 522337.0
93, 506718.0
94, 494129.0
95, 491101.0
96, 478856.0
97, 505946.0
98, 501661.0
99, 483545.0
100, 483199.0
101, 487875.0
102, 484530.0
103, 514442.0
104, 500861.0
105, 510861.0
106, 502385.0
107, 507826.0
108, 513030.0
109, 505280.0
110, 504186.0
111, 485619.0
112, 471317.0
113, 469123.0
114, 471126.0
115, 468369.0
116, 481621.0
117, 475104.0
118, 459282.0
119, 478779.0
120, 478486.0
121, 497382.0
122, 508710.0
123, 506007.0
124, 480962.0
125, 489435.0
126, 487123.0
127, 496873.0
128, 494717.0
129, 486037.0
130, 490809.0
131, 492443.0
132, 472356.0
133, 468657.0
134, 465690.0
135, 471595.0
136, 484612.0
137, 490418.0
138, 477813.0
139, 475719.0
140, 482467.0
141, 497796.0
142, 493172.0
143, 478091.0
144, 476346.0
145, 494864.0
146, 504158.0
147, 482990.0
148, 476092.0
149, 473095.0
150, 477159.0
151, 481700.0
152, 494121.0
153, 467681.0
154, 480370.0
155, 486403.0
156, 478574.0
157, 467454.0
158, 461835.0
159, 457878.0
160, 462134.0
161, 457355.0
162, 447245.0
163, 454992.0
164, 454762.0
165, 448740.0
166, 450437.0
167, 459318.0
168, 440736.0
169, 435490.0
170, 444628.0
171, 436198.0
172, 439880.0
173, 435374.0
174, 460270.0
175, 455007.0
176, 450020.0
177, 443514.0
178, 446081.0
179, 442689.0
180, 444375.0
181, 437150.0
182, 440304.0
183, 443363.0
184, 446123.0
185, 450573.0
186, 442978.0
187, 443310.0
188, 438486.0
189, 436839.0
190, 435675.0
191, 428671.0
192, 423797.0
193, 421713.0
194, 420265.0
195, 429922.0
196, 436871.0
197, 434404.0
198, 434538.0
199, 438874.0
200, 437226.0
201, 438711.0
202, 440620.0
203, 420846.0
204, 423791.0
205, 425720.0
206, 422894.0
207, 432591.0
208, 422563.0
209, 420830.0
210, 418026.0
211, 426426.0
212, 425821.0
213, 424138.0
214, 421818.0
215, 424172.0
216, 419136.0
217, 413494.0
218, 413055.0
219, 412638.0
220, 415234.0
221, 415583.0
222, 416871.0
223, 416808.0
224, 417795.0
225, 419483.0
226, 420079.0
227, 419190.0
228, 416964.0
229, 422620.0
230, 416695.0
231, 416813.0
232, 415892.0
233, 414840.0
234, 414685.0
235, 415248.0
236, 413304.0
237, 417062.0
238, 421474.0
239, 416410.0
240, 419831.0
241, 414814.0
242, 414743.0
243, 414099.0
244, 414343.0
245, 414508.0
246, 415965.0
247, 411177.0
248, 411013.0
249, 413877.0
250, 412511.0
251, 409645.0
252, 409976.0
253, 409166.0
254, 409596.0
255, 408546.0
256, 408232.0
257, 408915.0
258, 411834.0
259, 410019.0
260, 409188.0
261, 408721.0
262, 408824.0
263, 408773.0
264, 409253.0
265, 409572.0
266, 411080.0
267, 410041.0
268, 410601.0
269, 410551.0
270, 410629.0
271, 410419.0
272, 410416.0
273, 412214.0
274, 412087.0
275, 412624.0
276, 412128.0
277, 412136.0
278, 412563.0
279, 411377.0
280, 411642.0
281, 411779.0
282, 412452.0
283, 410357.0
284, 411083.0
285, 412608.0
286, 411698.0
287, 411536.0
288, 411778.0
289, 411649.0
290, 412330.0
291, 411130.0
292, 410849.0
293, 412078.0
294, 411158.0
295, 411181.0
296, 411902.0
297, 411251.0
298, 411715.0
299, 411209.0
300, 411547.0
301, 411642.0
302, 411663.0
303, 412072.0
304, 411974.0
305, 411675.0
306, 411950.0
307, 412369.0
308, 412043.0
309, 412017.0
310, 410520.0
311, 410403.0
312, 410268.0
313, 411297.0
314, 410925.0
315, 411307.0
316, 411211.0
317, 411006.0
318, 411154.0
319, 410880.0
320, 411306.0
321, 410901.0
322, 411593.0
323, 411507.0
324, 411581.0
325, 411369.0
326, 411116.0
327, 411357.0
328, 411191.0
329, 411526.0
330, 411230.0
331, 411295.0
332, 411370.0
333, 411314.0
334, 411321.0
335, 411664.0
336, 411170.0
337, 410913.0
338, 411028.0
339, 411242.0
340, 411099.0
341, 411253.0
342, 411106.0
343, 410711.0
344, 410856.0
345, 411090.0
346, 411466.0
347, 410828.0
348, 411187.0
349, 411098.0
350, 411075.0
351, 410733.0
352, 410677.0
353, 410792.0
354, 411146.0
355, 411449.0
356, 411026.0
357, 410807.0
358, 410730.0
359, 410897.0
360, 410744.0
361, 410726.0
362, 411379.0
363, 411270.0
364, 410522.0
365, 410815.0
366, 411051.0
367, 411182.0
368, 411039.0
369, 410834.0
370, 411214.0
371, 410910.0
372, 411458.0
373, 411528.0
374, 411559.0
