Iter, Cost
0, 760445.0
1, 732811.0
2, 716022.0
3, 685372.0
4, 662116.0
5, 693553.0
6, 643457.0
7, 679291.0
8, 713031.0
9, 673885.0
10, 654414.0
11, 639211.0
12, 642279.0
13, 641465.0
14, 654883.0
15, 679366.0
16, 661239.0
17, 657459.0
18, 661412.0
19, 671651.0
20, 654288.0
21, 620287.0
22, 634354.0
23, 687355.0
24, 623176.0
25, 631672.0
26, 635433.0
27, 662458.0
28, 635316.0
29, 654878.0
30, 667485.0
31, 653597.0
32, 639003.0
33, 619260.0
34, 656624.0
35, 658608.0
36, 660360.0
37, 637891.0
38, 644918.0
39, 643621.0
40, 655059.0
41, 643482.0
42, 625695.0
43, 649863.0
44, 639761.0
45, 645403.0
46, 657452.0
47, 613778.0
48, 622696.0
49, 636472.0
50, 625418.0
51, 619324.0
52, 602252.0
53, 608078.0
54, 620177.0
55, 607977.0
56, 599552.0
57, 629428.0
58, 624719.0
59, 618119.0
60, 616712.0
61, 594812.0
62, 617068.0
63, 600345.0
64, 621547.0
65, 602230.0
66, 609615.0
67, 620150.0
68, 630424.0
69, 623853.0
70, 638173.0
71, 631146.0
72, 597911.0
73, 606882.0
74, 602941.0
75, 598916.0
76, 597884.0
77, 595652.0
78, 622663.0
79, 626193.0
80, 576431.0
81, 574607.0
82, 598492.0
83, 581203.0
84, 579312.0
85, 581114.0
86, 586938.0
87, 611909.0
88, 578254.0
89, 590050.0
90, 585538.0
91, 592790.0
92, 599972.0
93, 605403.0
94, 581952.0
95, 586321.0
96, 608832.0
97, 608623.0
98, 566589.0
99, 597215.0
100, 532850.0
101, 592514.0
102, 629522.0
103, 605251.0
104, 608788.0
105, 583796.0
106, 565235.0
107, 590873.0
108, 580632.0
109, 595171.0
110, 575540.0
111, 538709.0
112, 546540.0
113, 574846.0
114, 561371.0
115, 569360.0
116, 579458.0
117, 569486.0
118, 560144.0
119, 505792.0
120, 521305.0
121, 526657.0
122, 516757.0
123, 538274.0
124, 567330.0
125, 553436.0
126, 584964.0
127, 580654.0
128, 548892.0
129, 578942.0
130, 563674.0
131, 560237.0
132, 547250.0
133, 552786.0
134, 539260.0
135, 557405.0
136, 564298.0
137, 581610.0
138, 566147.0
139, 546840.0
140, 518367.0
141, 532746.0
142, 528391.0
143, 541154.0
144, 534773.0
145, 526264.0
146, 518815.0
147, 520413.0
148, 537220.0
149, 542609.0
150, 544144.0
151, 524667.0
152, 502854.0
153, 503521.0
154, 496429.0
155, 495350.0
156, 510635.0
157, 507878.0
158, 521725.0
159, 517948.0
160, 509631.0
161, 512501.0
162, 525843.0
163, 513296.0
164, 521640.0
165, 523922.0
166, 507298.0
167, 511742.0
168, 484726.0
169, 492925.0
170, 515787.0
171, 517431.0
172, 510201.0
173, 481657.0
174, 491738.0
175, 506709.0
176, 505471.0
177, 488161.0
178, 478960.0
179, 491305.0
180, 487029.0
181, 476702.0
182, 481495.0
183, 492251.0
184, 502336.0
185, 502347.0
186, 514331.0
187, 490130.0
188, 498571.0
189, 480147.0
190, 474184.0
191, 463636.0
192, 479274.0
193, 473371.0
194, 464033.0
195, 460449.0
196, 479689.0
197, 466621.0
198, 486405.0
199, 467061.0
200, 463173.0
201, 462075.0
202, 460497.0
203, 455111.0
204, 445592.0
205, 460507.0
206, 458269.0
207, 455139.0
208, 478785.0
209, 477459.0
210, 457360.0
211, 469597.0
212, 455035.0
213, 448513.0
214, 447790.0
215, 455672.0
216, 448787.0
217, 454726.0
218, 450114.0
219, 435387.0
220, 433705.0
221, 451990.0
222, 456911.0
223, 454380.0
224, 437278.0
225, 430181.0
226, 428714.0
227, 437878.0
228, 442739.0
229, 448212.0
230, 433347.0
231, 412697.0
232, 424218.0
233, 426525.0
234, 433893.0
235, 424969.0
236, 413705.0
237, 411896.0
238, 416049.0
239, 425544.0
240, 430400.0
241, 426163.0
242, 425404.0
243, 430210.0
244, 438177.0
245, 430863.0
246, 432172.0
247, 434818.0
248, 431014.0
249, 424972.0
250, 417905.0
251, 401597.0
252, 406222.0
253, 408091.0
254, 402485.0
255, 400861.0
256, 398780.0
257, 399338.0
258, 402619.0
259, 410423.0
260, 410361.0
261, 407434.0
262, 398653.0
263, 408446.0
264, 405752.0
265, 405098.0
266, 399779.0
267, 400599.0
268, 399669.0
269, 395658.0
270, 392626.0
271, 387928.0
272, 391759.0
273, 386858.0
274, 383384.0
275, 384905.0
276, 381323.0
277, 380062.0
278, 382453.0
279, 377085.0
280, 379492.0
281, 377477.0
282, 361644.0
283, 367061.0
284, 375801.0
285, 374754.0
286, 375573.0
287, 374948.0
288, 371908.0
289, 371588.0
290, 371926.0
291, 368980.0
292, 366559.0
293, 368887.0
294, 374718.0
295, 375301.0
296, 374605.0
297, 364380.0
298, 368908.0
299, 370133.0
300, 366391.0
301, 363575.0
302, 365055.0
303, 362110.0
304, 366431.0
305, 369621.0
306, 371226.0
307, 372016.0
308, 370192.0
309, 365884.0
310, 368199.0
311, 374173.0
312, 368906.0
313, 368859.0
314, 366064.0
315, 356443.0
316, 358874.0
317, 354362.0
318, 357721.0
319, 355796.0
320, 357698.0
321, 357113.0
322, 356678.0
323, 354238.0
324, 352684.0
325, 347660.0
326, 347221.0
327, 349674.0
328, 350039.0
329, 349584.0
330, 352097.0
331, 350557.0
332, 347688.0
333, 342775.0
334, 343807.0
335, 339892.0
336, 337639.0
337, 335168.0
338, 336680.0
339, 334663.0
340, 335747.0
341, 330929.0
342, 330110.0
343, 330700.0
344, 331354.0
345, 328897.0
346, 328401.0
347, 328870.0
348, 328729.0
349, 328173.0
350, 326536.0
351, 326404.0
352, 324454.0
353, 326469.0
354, 324242.0
355, 321670.0
356, 324491.0
357, 323083.0
358, 322630.0
359, 322081.0
360, 320634.0
361, 320472.0
362, 323291.0
363, 321651.0
364, 321446.0
365, 320999.0
366, 320379.0
367, 319997.0
368, 320131.0
369, 319446.0
370, 319707.0
371, 318391.0
372, 319321.0
373, 319400.0
374, 319106.0
375, 315287.0
376, 312848.0
377, 312764.0
378, 317286.0
379, 314559.0
380, 314833.0
381, 313048.0
382, 316258.0
383, 315541.0
384, 315436.0
385, 311058.0
386, 310681.0
387, 310126.0
388, 310702.0
389, 310659.0
390, 312151.0
391, 312096.0
392, 312276.0
393, 311971.0
394, 312003.0
395, 312219.0
396, 309538.0
397, 309466.0
398, 308466.0
399, 307186.0
400, 307956.0
401, 306420.0
402, 306406.0
403, 313523.0
404, 312928.0
405, 310189.0
406, 310101.0
407, 310154.0
408, 310453.0
409, 309792.0
410, 309322.0
411, 308937.0
412, 309653.0
413, 309050.0
414, 309044.0
415, 307716.0
416, 307246.0
417, 305913.0
418, 305913.0
419, 305869.0
420, 305840.0
421, 305490.0
422, 305824.0
423, 305460.0
424, 305404.0
425, 305202.0
426, 305172.0
427, 304869.0
428, 304759.0
429, 304803.0
430, 304803.0
431, 304737.0
432, 304737.0
433, 303302.0
434, 302840.0
435, 303026.0
436, 302681.0
437, 302149.0
438, 301861.0
439, 301813.0
440, 301819.0
441, 301736.0
442, 301736.0
443, 302025.0
444, 302845.0
445, 302805.0
446, 302723.0
447, 302746.0
448, 301173.0
449, 301047.0
450, 300789.0
451, 300971.0
452, 300971.0
453, 300975.0
454, 301003.0
455, 301003.0
456, 300767.0
457, 300658.0
458, 300651.0
459, 300853.0
460, 300707.0
461, 300763.0
462, 300777.0
463, 303521.0
464, 303220.0
465, 303220.0
466, 303220.0
467, 303204.0
468, 302264.0
469, 302107.0
470, 302356.0
471, 302356.0
472, 302356.0
473, 302413.0
474, 302430.0
475, 302447.0
476, 302341.0
477, 302029.0
478, 301927.0
479, 301879.0
480, 301869.0
481, 301852.0
482, 301852.0
483, 301852.0
484, 301238.0
485, 300916.0
486, 300396.0
487, 300406.0
488, 300472.0
489, 300351.0
490, 300206.0
491, 300319.0
492, 300319.0
493, 300151.0
494, 300118.0
495, 303057.0
496, 302642.0
497, 302642.0
498, 302656.0
499, 302688.0
